Date,Fremont Bridge West Sidewalk,Fremont Bridge East Sidewalk
05/22/2017,5936,4522
10/24/2012,2358,2500
11/23/2020,593,387
07/26/2014,2444,2976
12/02/2015,2630,2400
03/02/2019,1448,1514
05/18/2013,1628,2000
05/04/2016,4132,4046
12/05/2015,374,442
12/26/2018,914,676
02/10/2014,1402,1454
02/24/2019,980,886
12/17/2018,3002,1748
08/18/2018,2398,2088
03/22/2018,2258,1436
10/19/2014,1988,2508
03/27/2015,2762,3268
01/02/2014,1868,1862
10/18/2019,3600,1828
02/06/2016,806,962
07/01/2017,2234,2082
04/13/2020,2222,1988
05/01/2018,5722,3820
04/14/2013,1304,1624
04/24/2013,4326,4574
05/23/2014,2496,2616
07/15/2020,1964,1470
07/10/2013,4606,4608
07/29/2013,4080,4096
09/18/2013,3800,4018
02/20/2020,4678,2288
09/05/2015,1540,1652
04/06/2019,758,664
05/21/2016,752,730
09/22/2019,586,532
09/18/2014,3312,3232
11/20/2016,538,550
02/17/2014,1066,990
12/17/2015,1674,1642
05/14/2014,5704,6070
02/08/2018,3004,2102
07/03/2018,5970,3894
04/20/2017,3550,2620
12/17/2020,795,601
08/05/2018,2388,2160
07/02/2019,4504,2486
06/25/2014,4688,4376
10/09/2020,1347,891
01/28/2015,2782,3144
08/04/2019,3010,2856
04/18/2019,3296,2038
08/02/2017,5618,3822
05/28/2014,3860,4156
11/11/2013,2726,2596
03/18/2014,2766,2838
09/24/2015,4470,4172
11/21/2012,1404,1336
11/26/2012,2356,2360
03/08/2019,2366,1386
03/26/2020,612,566
01/30/2013,1774,1746
11/10/2015,3498,3216
08/14/2018,5634,3470
04/17/2019,4586,2790
03/08/2014,692,760
03/25/2016,2822,2560
05/27/2016,2924,2802
12/22/2014,2248,2264
08/28/2017,5336,3404
05/21/2019,5134,3224
08/03/2018,4406,2944
03/15/2017,2070,1572
01/23/2013,1742,1792
04/13/2016,3102,2774
12/02/2019,3900,2618
06/20/2020,1192,1034
05/05/2014,3166,3436
02/10/2020,5140,2558
11/03/2017,2372,1626
08/29/2019,6368,3384
09/03/2020,1782,1243
06/04/2018,4606,3028
11/13/2015,1666,1558
02/25/2015,1738,3054
02/05/2020,2916,1338
05/17/2017,4756,3494
05/24/2019,4316,2722
02/13/2015,1784,3134
12/10/2013,1806,1934
08/04/2020,1952,1309
09/18/2016,1686,1700
06/02/2018,2960,2862
10/17/2020,994,793
05/06/2015,4110,4352
03/03/2016,2584,2406
06/11/2014,5084,5308
01/24/2015,1022,1304
09/21/2016,4538,3640
01/12/2019,1686,1656
03/24/2018,1416,1106
10/24/2018,4386,2898
07/17/2019,4942,2966
02/15/2017,1830,1292
07/11/2019,6984,4146
03/10/2016,2160,1924
10/30/2019,5374,2814
04/20/2015,4428,4684
02/03/2015,1824,2844
08/13/2019,7926,4376
12/25/2019,458,368
04/18/2017,3158,2406
07/28/2016,4692,4274
10/01/2019,6840,3602
